Sum of current_firm,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,Grand Total
59,10,1,10,10,10,1,1,10,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,10,1,1,10,1,10,10,1,10,1,1,1,10,1,10,10,1,1,1,1,10,1,10,1,1,10,10,1,1,10,10,1,309
60,10,10,8,10,8,0,0,10,8,10,8,0,8,8,10,0,8,10,10,10,10,0,0,10,10,10,10,0,8,0,0,10,8,0,0,10,8,8,10,0,0,10,8,10,10,0,8,10,8,8,10,10,0,8,0,8,10,376
61,1,0,10,1,10,1,10,1,0,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,298
62,1,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,8,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,6,8,77
63,1,4,0,0,4,6,6,4,4,6,0,0,4,0,0,4,4,4,6,0,0,4,4,4,4,6,4,4,0,0,4,4,4,4,0,0,4,6,0,0,4,0,6,4,6,0,0,4,0,0,4,0,6,0,0,4,4,155
64,1,1,1,0,0,0,8,8,0,0,0,0,8,8,6,6,8,8,0,0,8,8,8,8,0,6,0,8,6,8,8,8,6,0,0,8,0,0,0,8,6,0,0,0,8,0,0,8,0,0,8,0,0,8,8,0,6,213
65,1,2,8,2,8,8,2,0,0,2,8,2,8,2,8,2,0,8,8,2,8,2,0,8,2,8,2,0,8,2,8,2,2,0,0,2,2,0,8,2,8,0,8,2,8,2,0,8,2,0,0,2,8,0,8,2,8,213
66,1,2,0,6,2,2,0,0,2,2,0,6,2,2,0,0,2,0,0,2,6,2,0,0,2,0,0,2,6,2,0,0,2,0,0,2,0,0,2,0,0,2,2,0,6,2,0,0,2,0,0,2,0,6,2,6,2,89
67,1,1,0,0,6,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,2,0,0,0,0,0,0,6,2,6,2,6,2,0,0,0,6,2,0,0,0,0,0,0,0,64
68,1,1,1,6,8,0,6,0,0,6,6,0,0,6,0,8,8,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6,8,0,8,0,0,0,0,0,0,6,8,0,0,6,0,0,6,0,6,8,0,0,0,0,6,137
69,1,2,0,6,6,2,0,0,2,2,2,6,2,2,2,0,6,0,6,0,0,2,2,2,2,2,2,2,2,0,0,2,2,2,6,0,0,2,2,0,0,2,0,6,6,2,2,0,0,2,6,6,2,2,0,0,2,117
70,1,0,0,6,6,0,6,6,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,6,2,2,6,2,2,2,0,0,0,6,0,0,0,0,0,0,6,2,2,2,2,2,2,2,0,6,0,0,101
71,1,1,6,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,4,4,0,0,6,0,6,0,0,6,0,0,0,0,0,0,0,6,6,4,4,4,0,0,0,0,6,4,0,0,0,0,0,6,4,6,0,100
72,2,0,6,6,2,2,2,6,0,6,0,0,2,2,2,2,0,0,2,6,0,0,2,0,0,2,2,2,2,6,6,2,2,0,0,2,2,2,0,0,2,0,6,0,6,6,0,6,6,0,0,2,0,0,2,0,0,116
73,8,0,8,8,0,0,8,0,0,8,6,0,6,0,8,0,0,8,8,0,0,0,8,0,0,0,0,8,0,0,0,8,8,0,0,8,6,0,0,0,0,8,0,0,8,0,0,0,8,6,8,0,0,8,8,0,0,176
