tick,firm_ID,capacity,overbook,customers_count,bookings,customers_waiting,pre_decision_booking,franchise_ID,star_rating,firm_age,f_deviance_propensity,firm_decision,firm_status
37,3,46,0,18,18,0,23,0,3.5,5,1,0,0
37,2,44,0,14,14,0,20,0,3.8,4,0,0,0
37,7,74,0,45,45,0,44,0,5,10,3,0,0
38,4,56,0,35,35,0,42,1,4.6,10,1,0,0
38,6,71,0,199,71,128,71,0,4.9,8,0,0,0
38,9,65,0,2,2,0,21,0,2.8,15,6,0,0
38,8,75,0,113,75,38,75,0,4.8,13,5,0,0
38,10,69,0,68,68,0,69,0,5,17,1,0,0
38,3,46,0,14,14,0,23,0,3.5,5,1,0,0
38,1,46,0,22,22,0,32,0,3.7,3,0,0,0
38,2,44,0,18,18,0,20,0,3.8,4,0,0,0
38,5,52,0,26,26,0,33,0,3.9,9,2,0,0
38,7,74,0,47,47,0,44,0,5,10,3,0,0
39,6,71,0,202,71,131,71,0,4.9,8,0,0,0
39,9,65,0,2,2,0,21,0,2.8,15,6,0,0
39,1,46,0,18,18,0,32,0,3.7,3,0,0,0
39,7,74,0,45,45,0,44,0,5,10,3,0,0
39,3,46,0,14,14,0,23,0,3.5,5,1,0,0
39,10,69,0,72,69,3,69,0,5,17,1,0,0
39,8,75,0,112,75,37,75,0,4.8,13,5,0,0
39,5,52,0,27,27,0,33,0,3.9,9,2,0,0
39,2,44,0,16,16,0,20,0,3.8,4,0,0,0
39,4,56,0,34,34,0,42,1,4.6,10,1,0,0
40,3,46,0,19,19,0,23,0,3.5,5,1,0,0
40,2,44,0,15,15,0,20,0,3.8,4,0,0,0
40,7,74,0,43,43,0,44,0,5,10,3,0,0
40,10,69,0,63,63,0,69,0,5,17,1,0,0
40,9,65,0,2,2,0,21,0,2.8,15,6,0,0
40,8,75,0,113,75,38,75,0,4.8,13,5,0,0
40,1,46,0,25,25,0,32,0,3.7,3,0,0,0
40,5,52,0,27,27,0,33,0,3.9,9,2,0,0
40,4,56,0,35,35,0,42,1,4.6,10,1,0,0
40,6,71,0,200,71,129,71,0,4.9,8,0,0,0
41,9,65,0,2,2,0,21,0,2.8,15,6,0,0
41,2,44,0,19,19,0,20,0,3.8,4,0,0,0
41,6,71,0,210,71,139,71,0,4.9,8,0,0,0
41,4,56,0,27,27,0,42,1,4.6,10,1,0,0
41,5,52,0,20,20,0,33,0,3.9,9,2,0,0
41,7,74,0,47,47,0,44,0,5,10,3,0,0
41,8,75,0,112,75,37,75,0,4.8,13,5,0,0
41,3,30,0,15,15,0,15,0,3.5,5,1,0,0
41,10,69,0,67,67,0,69,0,5,17,1,0,0
41,1,46,0,18,18,0,32,0,3.7,3,0,0,0
42,6,71,0,210,71,139,71,0,4.9,8,0,0,0
42,7,74,0,51,51,0,44,0,5,10,3,0,0
42,3,30,0,18,18,0,15,0,3.5,5,1,0,0
42,4,56,0,26,26,0,42,1,4.6,10,1,0,0
42,1,46,0,25,25,0,32,0,3.7,3,0,0,0
42,8,75,0,110,75,35,75,0,4.8,13,5,0,0
42,10,69,0,57,57,0,69,0,5,17,1,0,0
42,2,44,0,16,16,0,20,0,3.8,4,0,0,0
42,9,65,0,2,2,0,21,0,2.8,15,6,0,0
42,5,52,0,23,23,0,33,0,3.9,9,2,0,0
43,5,52,0,21,21,0,33,0,3.9,9,2,0,0
43,9,65,0,2,2,0,21,0,2.8,15,6,0,0
43,6,71,0,199,71,128,71,0,4.9,8,0,0,0
43,7,74,0,39,39,0,44,0,5,10,3,0,0
43,4,56,0,40,40,0,42,1,4.6,10,1,0,0
43,8,75,0,107,75,32,75,0,4.8,13,5,0,0
43,3,30,0,15,15,0,15,0,3.5,5,1,0,0
43,2,44,0,16,16,0,20,0,3.8,4,0,0,0
43,1,46,0,20,20,0,32,0,3.7,3,0,0,0
43,10,69,0,67,67,0,69,0,5,17,1,0,0
44,5,52,0,15,15,0,33,0,3.9,9,2,0,0
44,8,75,0,111,75,36,75,0,4.8,13,5,0,0
44,4,56,0,33,33,0,42,1,4.6,10,1,0,0
44,2,44,0,15,15,0,20,0,3.8,4,0,0,0
44,10,69,0,59,59,0,69,0,5,17,1,0,0
44,9,65,0,2,2,0,21,0,2.8,15,6,0,0
44,3,30,0,12,12,0,15,0,3.5,5,1,0,0
44,7,74,0,52,52,0,44,0,5,10,3,0,0
44,1,46,0,24,24,0,32,0,3.7,3,0,0,0
44,6,71,0,227,71,156,71,0,4.9,8,0,0,0
45,4,56,0,35,35,0,42,1,4.6,10,1,0,0
45,1,46,0,20,20,0,32,0,3.7,3,0,0,0
45,3,22,0,14,14,0,14,0,3.5,5,1,0,0
45,6,71,0,196,71,125,71,0,4.9,8,0,0,0
45,8,75,0,102,75,27,75,0,4.8,13,5,0,0
45,10,69,0,71,69,2,69,0,5,17,1,0,0
45,7,74,0,51,51,0,44,0,5,10,3,0,0
45,2,44,0,15,15,0,20,0,3.8,4,0,0,0
45,9,65,0,2,2,0,21,0,2.8,15,6,0,0
